customer_id,customer_name,customer_segment,signup_date
1,Customer 001,Basic,2023-03-13
2,Customer 002,Premium,2021-06-06
3,Customer 003,Standard,2022-10-28
4,Customer 004,Premium,2023-02-13
5,Customer 005,Basic,2023-03-23
6,Customer 006,Basic,2021-06-07
7,Customer 007,Basic,2023-04-07
8,Customer 008,Basic,2022-04-29
9,Customer 009,Premium,2023-06-05
10,Customer 010,Premium,2022-11-24
11,Customer 011,Premium,2022-02-03
12,Customer 012,Basic,2023-06-08
13,Customer 013,Basic,2022-12-14
14,Customer 014,Basic,2021-09-08
15,Customer 015,Basic,2021-12-24
16,Customer 016,Standard,2022-11-22
17,Customer 017,Standard,2021-11-09
18,Customer 018,Standard,2023-06-29
19,Customer 019,Premium,2021-07-21
20,Customer 020,Standard,2022-07-22
21,Customer 021,Standard,2023-01-27
22,Customer 022,Premium,2021-05-15
23,Customer 023,Standard,2023-03-23
24,Customer 024,Premium,2022-06-11
25,Customer 025,Premium,2022-07-03
26,Customer 026,Standard,2021-10-25
27,Customer 027,Standard,2023-05-22
28,Customer 028,Basic,2022-03-22
29,Customer 029,Basic,2023-02-28
30,Customer 030,Standard,2023-04-16
31,Customer 031,Basic,2022-09-08
32,Customer 032,Basic,2021-10-10
33,Customer 033,Standard,2021-11-21
34,Customer 034,Premium,2021-07-14
35,Customer 035,Premium,2023-05-20
36,Customer 036,Basic,2022-11-14
37,Customer 037,Standard,2023-04-15
38,Customer 038,Premium,2023-03-24
39,Customer 039,Standard,2022-09-24
40,Customer 040,Standard,2021-09-23
41,Customer 041,Standard,2023-01-20
42,Customer 042,Standard,2022-07-07
43,Customer 043,Premium,2021-08-18
44,Customer 044,Standard,2021-07-17
45,Customer 045,Basic,2021-09-10
46,Customer 046,Premium,2021-10-20
47,Customer 047,Basic,2023-01-11
48,Customer 048,Basic,2021-06-19
49,Customer 049,Premium,2023-01-19
50,Customer 050,Standard,2022-06-12
51,Customer 051,Standard,2021-09-18
52,Customer 052,Basic,2021-12-12
53,Customer 053,Premium,2021-08-03
54,Customer 054,Standard,2021-05-10
55,Customer 055,Premium,2022-11-13
56,Customer 056,Premium,2022-08-16
57,Customer 057,Standard,2022-10-04
58,Customer 058,Premium,2022-12-01
59,Customer 059,Basic,2021-06-30
60,Customer 060,Standard,2022-11-30
61,Customer 061,Basic,2022-02-09
62,Customer 062,Standard,2021-09-15
63,Customer 063,Standard,2023-02-09
64,Customer 064,Standard,2023-02-13
65,Customer 065,Premium,2021-06-03
66,Customer 066,Basic,2021-12-31
67,Customer 067,Standard,2021-06-01
68,Customer 068,Basic,2022-04-23
69,Customer 069,Basic,2022-05-23
70,Customer 070,Standard,2022-11-23
71,Customer 071,Premium,2022-01-30
72,Customer 072,Standard,2023-04-03
73,Customer 073,Premium,2023-03-15
74,Customer 074,Premium,2021-10-01
75,Customer 075,Premium,2021-04-15
76,Customer 076,Basic,2022-04-29
77,Customer 077,Basic,2023-05-01
78,Customer 078,Standard,2022-06-10
79,Customer 079,Basic,2022-03-13
80,Customer 080,Basic,2022-10-21
81,Customer 081,Basic,2023-06-24
82,Customer 082,Basic,2021-06-27
83,Customer 083,Premium,2021-08-06
84,Customer 084,Basic,2021-05-28
85,Customer 085,Standard,2021-05-09
86,Customer 086,Basic,2022-07-22
87,Customer 087,Premium,2022-09-08
88,Customer 088,Standard,2023-01-25
89,Customer 089,Standard,2023-07-02
90,Customer 090,Basic,2021-06-29
91,Customer 091,Standard,2022-02-08
92,Customer 092,Premium,2022-02-01
93,Customer 093,Premium,2021-10-03
94,Customer 094,Standard,2021-09-19
95,Customer 095,Basic,2021-10-20
96,Customer 096,Premium,2023-01-30
97,Customer 097,Standard,2021-05-16
98,Customer 098,Premium,2021-12-30
99,Customer 099,Basic,2023-07-05
100,Customer 100,Basic,2022-08-08
