order_id,customer_id,order_date,order_amount,customer_segment
1,63,2024-05-22,64.82,Standard
2,47,2023-12-26,127.33,Basic
3,31,2023-08-15,474.01,Basic
4,11,2023-09-26,409.85,Premium
5,98,2023-09-02,385.26,Premium
6,17,2023-06-29,242.89,Standard
7,71,2024-03-08,139.88,Premium
8,78,2023-10-28,482.54,Standard
9,70,2023-06-13,108.56,Standard
10,40,2023-11-09,497.62,Standard
11,84,2023-11-22,224.67,Basic
12,67,2023-10-13,69.29,Standard
13,29,2024-04-29,175.66,Basic
14,76,2023-08-22,122.76,Basic
15,29,2024-05-28,44.79,Basic
16,81,2024-05-01,122.18,Basic
17,5,2023-12-14,44.72,Basic
18,31,2024-01-10,337.8,Basic
19,28,2023-08-29,74.83,Basic
20,74,2023-08-10,241.61,Premium
21,61,2023-11-05,103.3,Basic
22,13,2023-06-29,221.22,Basic
23,55,2023-11-03,238.84,Premium
24,94,2024-05-04,339.95,Standard
25,83,2024-04-11,39.7,Premium
26,94,2023-12-10,402.29,Standard
27,14,2024-01-25,103.88,Basic
28,69,2023-10-15,78.69,Basic
29,24,2024-01-10,236.69,Premium
30,10,2023-10-18,405.93,Premium
31,71,2024-04-11,34.79,Premium
32,70,2024-05-24,484.81,Standard
33,97,2024-01-31,91.49,Standard
34,63,2023-09-28,114.74,Standard
35,52,2024-05-01,90.67,Basic
36,1,2023-11-14,139.95,Basic
37,59,2024-01-06,217.27,Basic
38,94,2023-08-21,334.32,Standard
39,63,2024-03-13,103.05,Standard
40,28,2024-05-02,293.8,Basic
41,70,2024-04-30,376.51,Standard
42,8,2024-05-06,296.25,Basic
43,65,2023-09-03,87.14,Premium
44,66,2024-04-20,427.16,Basic
45,9,2023-08-01,43.3,Premium
46,31,2023-11-07,68.74,Basic
47,73,2024-01-26,293.67,Premium
48,6,2023-07-19,50.17,Basic
49,85,2023-08-07,286.96,Standard
50,41,2024-01-19,110.09,Standard
51,92,2023-12-23,126.96,Premium
52,51,2024-03-25,339.13,Standard
53,39,2023-10-10,164.93,Standard
54,97,2024-04-24,14.56,Standard
55,80,2023-08-17,498.09,Basic
56,10,2023-08-30,114.45,Premium
57,34,2024-03-25,467.3,Premium
58,9,2024-01-27,191.07,Premium
59,21,2023-10-20,418.54,Standard
60,91,2023-12-29,309.72,Standard
61,84,2023-09-04,13.83,Basic
62,71,2023-12-30,466.56,Premium
63,14,2024-03-24,139.59,Basic
64,14,2023-08-22,86.17,Basic
65,37,2023-07-27,113.21,Standard
66,44,2024-02-17,346.87,Standard
67,34,2023-09-16,249.38,Premium
68,7,2024-04-14,320.8,Basic
69,36,2024-05-09,11.74,Basic
70,99,2024-03-26,322.19,Basic
71,34,2024-03-10,373.2,Premium
72,71,2023-06-05,219.57,Premium
73,2,2024-04-04,46.87,Premium
74,89,2024-03-16,277.34,Standard
75,48,2023-08-07,280.74,Basic
76,56,2024-03-27,30.5,Premium
77,47,2024-05-11,450.47,Basic
78,27,2023-06-17,132.27,Standard
79,14,2023-12-02,392.26,Basic
80,53,2023-07-19,377.24,Premium
81,31,2024-03-09,488.34,Basic
82,23,2023-11-02,22.15,Standard
83,95,2023-12-13,393.37,Basic
84,53,2023-06-24,433.39,Premium
85,32,2024-01-16,88.01,Basic
86,90,2024-04-06,197.45,Basic
87,5,2023-10-04,118.99,Basic
88,59,2023-12-04,159.54,Basic
89,30,2024-02-07,21.6,Standard
90,25,2023-11-09,170.85,Premium
91,9,2024-01-10,182.06,Premium
92,66,2023-11-09,342.96,Basic
93,69,2023-12-14,470.23,Basic
94,15,2024-01-19,97.5,Basic
95,34,2024-05-12,63.12,Premium
96,56,2023-12-07,366.99,Premium
97,41,2023-10-21,307.04,Standard
98,66,2024-04-02,198.75,Basic
99,74,2024-02-24,134.81,Premium
100,91,2023-10-21,10.83,Standard
101,69,2023-06-15,362.52,Basic
102,95,2023-06-23,106.55,Basic
103,56,2024-04-26,474.95,Premium
104,43,2023-07-17,163.82,Premium
105,16,2023-12-30,258.49,Standard
106,86,2023-11-04,169.83,Basic
107,90,2024-01-01,281.66,Basic
108,25,2023-10-29,335.82,Premium
109,49,2023-06-20,376.59,Premium
110,23,2023-07-21,288.86,Standard
111,52,2023-08-25,418.53,Basic
112,39,2024-01-06,112.99,Standard
113,75,2023-07-26,330.81,Premium
114,60,2023-10-18,226.66,Standard
115,28,2023-09-13,241.86,Basic
116,95,2024-03-06,332.84,Basic
117,37,2023-09-11,335.29,Standard
118,80,2023-12-12,55.76,Basic
119,97,2024-02-01,339.67,Standard
